Kohlberg,Coffee Bar,39.905887,-75.354839
Lang Music Center,Practice Rooms ,39.905615,-75.356331
Lang Music Center,Underhill Seminar Room,39.905263,-75.356109
Outside,Amphitheater,75.354931,-75.355808
Parrish,Parlors East,39.905155,-75.354056
Parrish,Parlors West,39.905094,-75.354174
Parrish,Shane Lounge,39.905322,-75.35424
Science Center,Commons ,39.906829,-75.355609
Tarble,Essies,39.904312,-75.354931
Trotter,203,39.906271,-75.354184
